"quotationId","sourceSheet","workType","workTypeCode","area","areaCode","workScopeCode","name","canonicalScopeId","canonicalScope","groupName","description","unit","quantity","unitRate","amount","remark","makes"
"rinki_2024_11_04","final","Fire Fighting","13",,,"25","P/F Terraces Pump Panel 16 Gauge Complete in all respect.","p_f_terraces_pump_panel_16_gauge_complete_in_all","P/F Terraces Pump Panel 16 Gauge Complete in all respect.","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","SET.","pcs","12500",,,"",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"26","Providing, laying, testing and commissioning of MS heavy Grade ERW pipes for underground applications confirming to IS: 1239 / IS : 3589 with necessary flanges and fittings such as elbows and as elbows and tees with a primer coat along with wrapping and coating of pipe PYPCOYE 4 mm thick conforming to IS:10221. If required excavation all the type soils refilling the trenches to same finish. Holidays test shall be curried out to check for proper workmanship on the laying of all underground piping.(MAKE ; PIPE COATE)","providing_laying_testing_and_commissioning_of_ms","Providing, laying, testing and commissioning of MS heavy Grade ERW pipes for und","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs",,,,"",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"13D","Providing & Fixing 15 mm dia gun metal (Pendent Type) sprinkle head with quartz bulb complete with all respect","upside_sprinkler","Upright sprinkler","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs","25","700","17500","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"23","Providing testing and commissioning of the installation control valve including with following fittings, (Make : Kirloskar).","providing_testing_and_commissioning_of_the_insta","Providing testing and commissioning of the installation control valve including","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs","25","15625","390625","","Kirloskar"
"rinki_2024_11_04","final","Fire Fighting","13",,,"23","Providing & fixing double flanged flexicon expansion joint with unit control of standard length as per maufacturers specs tested to a pressure of 20Kg/Sqcm including rubber gaskets, flanges, nuts, bolts and washers complete as required.","providing_fixing_double_flanged_flexicon_expansi","Providing & fixing double flanged flexicon expansion joint with unit control of","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs","25","15625","390625","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"32","Providing, fixing, testing & commissioning of MS air cushion tank on top of each riser fabricated from 8mm thick MS plate,250 mm in diameter and 1.2 m in height with dished ends fabricated from 10mm thick MS sheet,2coats of synthetic enamel paint over a coat of primer with Air release valve with stop cock, flanged inlet connection and drain arrangement with 25mm dia valve, pressure guage with gun metal stop cock complete with all accessories as required.","ms_pipe","MS heavy grade fire pipe","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","Each","pcs","25","15625","390625","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"32","Providing & Fixing Nipple Down Complete in all respect.","providing_fixing_nipple_down_complete_in_all_res","Providing & Fixing Nipple Down Complete in all respect.","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs","25","15625","390625","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"37","Providing & Fixing of installation control valve with turbine type automatic Alarm Gong to be connected with control valve, drain & test valve all flanged connections as per manufacturer's specifications complete. (Make : Kirloskar)","providing_fixing_of_installation_control_valve_w","Providing & Fixing of installation control valve with turbine type automatic Ala","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs","25","15625","390625","","Kirloskar"
"rinki_2024_11_04","final","Fire Fighting","13",,,"22","Providing and fixing inspectors test assembly complete with test valve, sight glass sectional drain valve, union with corrosion resistant orifice all complete strictly as per drawing. (Make: Zoloto)","providing_and_fixing_inspectors_test_assembly_co","Providing and fixing inspectors test assembly complete with test valve, sight gl","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs","25","15625","390625","","Zoloto"
"rinki_2024_11_04","final","Fire Fighting","13",,,"31","Supply, Erection, Testing & commissioniing of firemans axe with heavy rubber handle .","supply_erection_testing_commissioniing_of_firema","Supply, Erection, Testing & commissioniing of firemans axe with heavy rubber han","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","Each","pcs","25","15625","390625","",""
"rinki_2024_11_04","final","Alarm System","14",,,"A","Providing & fixing ISI marked fire extinguishers of ABC type of 4 Kg. capacities complete with horn and value with initial charge as required. ISI mark. (Make: Guarsd / Safe Guards/ Life Guards/ Lightex/ Superex/ Safex).","fire_extinguisher","Fire extinguisher",,"","pcs","4","2500","10000","",""
"rinki_2024_11_04","final","Alarm System","14",,,"B","Supplying and drawing of PVC insulated Copper conductor 2C 1.5 sq. mm including terminating connection etc. as required","supplying_and_drawing_of_pvc_insulated_copper_co","Supplying and drawing of PVC insulated Copper conductor 2C 1.5 sq. mm including",,"","mtr","410","160","65600","",""
"rinki_2024_11_04","final","Alarm System","14",,,"C","Providing & fixing manual call box 16 guage in 100 x 100 mm enclosure with arrangement to raise the alarm when the glazz in manually broken complete as required including hammer.","ms_pipe","MS heavy grade fire pipe",,"","pcs","2","1050","2100","",""
"rinki_2024_11_04","final","Alarm System","14",,,"D","Providing & fixing of DUAL / tone electric fire hooter suitable for wall mounting inside the building for localized warming range of hooter shall be 80 dB to 120 dB.","providing_fixing_of_dual_tone_electric_fire_hoot","Providing & fixing of DUAL / tone electric fire hooter suitable for wall mountin",,"","pcs","2","1050","2100","",""
"rinki_2024_11_04","final","Alarm System","14",,,"E","P/F Heat Detectors with base Complete in all respect.","p_f_heat_detectors_with_base_complete_in_all_res","P/F Heat Detectors with base Complete in all respect.",,"","pcs","18","1995","35910","",""
"rinki_2024_11_04","final","Alarm System","14",,,"F","P/F Smoke Detectors with base Complete in all respect.","p_f_smoke_detectors_with_base_complete_in_all_re","P/F Smoke Detectors with base Complete in all respect.",,"","pcs","18","2200","39600","",""
"livzone_finishing_2026_01_30","for pg","Flooring","1",,,"1","TILE FLOORING WITH CHEMICAL","vitrified_floor_tiles","Vitrified floor tiles",,"Providing Fixing of (4'x2' & 2'X'2' ) vitrified Tile with chemical pasting and required fixing material. Make - Kajaria, Somani, same as other Tile Cost - up to 50/- sqft. Skirting will be measure at running feet with the same rate.","sqft",,"160",,"","Kajaria; Somani"
"livzone_finishing_2026_01_30","for pg","Suspended Ceiling","2",,,"2","PLAIN POP CEILING","pop_ceiling","POP ceiling",,"plain pop false ceiling with sakarni pop","sqft",,"120",,"",""
"livzone_finishing_2026_01_30","for pg","Suspended Ceiling","3",,,"3","POP CEILING WITH COVE","pop_ceiling","POP ceiling",,"COVE will be measure extra in running feet with the same rate of 120 per running feet.","sqft",,,,"",""
"livzone_finishing_2026_01_30","for pg","Suspended Ceiling","4",,,"4","GYPSUM CEILING","gypsum_ceiling","Gypsum ceiling",,"providing and fixing of Gypsum Board ceiling with required ISI GI channel cevered with 12mm thick gypsum board with required fittings. Make - Gyprock","sqft",,"110",,"","Gyprock"
